Countries,CNTRY CODE,MaT\YEARS TEACHING,MaT\GENDER,MaT\AGE,MaT\LEVEL OF EDUCATION,MaT\CHARACTERIZE\TCHS DEGREE OF SUCCESS,MaT\CHARACTERIZE\TCHS EXPECTATIONS,MaT\CHARACTERIZE\TCHS ABILITY TO INSPIRE,MaT\CHARACTERIZE\PARENTAL INVOLVEMENT,MaT\CHARACTERIZE\PARENTAL SUPPORT,MaT\CHARACTERIZE\STUDENTS DESIRE,MaT\CHARACTERIZE\RESPECT FOR CLASSMATES,MaT\CURRENT SCH\SAFE NEIGHBORH,MaT\CURRENT SCH\FEEL SAFE,MaT\CURRENT SCH\STUD BEHAVE,MaT\CURRENT SCH\STUD RESPECT,MaT\CURRENT SCH\RESPECT PROPERTY,MaT\BEING A TEACHER\CONTENT,MaT\BEING A TEACHER\MEANING AND PURPOSE,MaT\BEING A TEACHER\ENTHUSIASTIC,MaT\AGREEMENT\TOO MANY STUDENTS,MaT\AGREEMENT\TOO MUCH MATERIAL,MaT\AGREEMENT\TOO MANY HOURS,MaT\AGREEMENT\NEED MORE TIME TO PREPARE,MaT\AGREEMENT\NEED MORE TIME TO ASSIST,MaT\AGREEMENT\TOO MUCH PRESSURE,MaT\AGREEMENT\TOO MANY ADMINISTRATIVE TASKS,MaT\HOW OFTEN\RELATE TO STUDENTS LIVES,MaT\HOW OFTEN\EXPLAIN ANSWERS,MaT\HOW OFTEN\CHALLENGING EXS,MaT\HOW OFTEN\CLASSROOM DISCUSSIONS,MaT\HOW OFTEN\ENCOURAGE TO EXPRESS IDEAS,MaT\LIMIT TEACHING\LACKING KNOWLEDGE,MaT\LIMIT TEACHING\LACK OF NUTRITION,MaT\LIMIT TEACHING\LACK OF SLEEP,MaT\LIMIT TEACHING\DISRUPTIVE STUDENTS,MaT\LIMIT TEACHING\UNINTERESTED STUDENTS,MaT\LIMIT TEACHING\MENTAL IMPAIRMENT,TM\ASK STUDENTS\EXPLAIN NEW MATHEMATICS,TM\ASK STUDENTS\MEMORIZE RULES,TM\ASK STUDENTS\WORK IN WHOLE CLASS,TM\PERMITTED TO USE CALCULATORS,TM\COMPUTER TABLET AVAILABILITY DURING MATH,TM\ACCESS TO COMPUTER\EACH STD HAS A COMPUTER,TM\ACCESS TO COMPUTER\CLASS HAS COMPUTERS,TM\ACCESS TO COMPUTER\SCHOOL HAS COMPUTERS,TM\HOW OFTEN MATH HOMEWORK ASSIGNED,TM\CORRECT HOMEWORK,TM\DISCUSS HOMEWORK,TM\PAST DEVELOPMENT\MATH CONTENT,TM\PAST DEVELOPMENT\MATH PEDAGOGY,TM\PAST DEVELOPMENT\STUDENT NEEDS,ST\GENDER,ST\AMOUNT OF BOOKS,ST\POSSESS COMPUTER TABLET,ST\POSSESS STUDY DESK,ST\POSSESS OWN ROOM,ST\POSSESS INTERNET CONNECTION,ST\POSSESS MOBILE OWN,ST\HOW OFTEN ABSENT FROM SCHOOL,ST\INTERNET USE\ACCESS TEXTBOOKS,ST\INTERNET USE\ACCESS ASSIGNMENTS,ST\INTERNET USE\COLLABORATE WITH CLASSMATES,ST\INTERNET USE\COMMUNICATE WITH TEACHER,ST\AGREE\BEING IN SCHOOL,ST\AGREE\SAFE AT SCHOOL,ST\AGREE\BELONG AT SCHOOL,ST\AGREE\TEACHERS FAIR,ST\HOW OFTEN\SPREADING LIES ABOUT ME,ST\HOW OFTEN\STEALING STH FROM ME,ST\HOW OFTEN\THREATENED,STM\AGREE\ENJOY LEARNING MATHEMATICS,STM\AGREE\MATH IS BORING,STM\AGREE\LEARN INTERESTING THINGS,STM\AGREE\LIKE MATH PROBLEMS,STM\AGREE\MATH FAVORITE SUBJECT,STM\AGREE\TEACHER EASY TO UNDERSTAND,STM\AGREE\TEACHER CLEAR ANSWERS,STM\AGREE\TEACHER EXPLAINS GOOD,STM\AGREE\TEACHER DOES A VARIETY,STM\AGREE\USUALLY DO WELL IN MATH,STM\AGREE\HARDER FOR ME THAN FOR OTHERS,STM\AGREE\JUST NOT GOOD IN MATH,STM\AGREE\MATH MAKES ME NERVOUS,STM\AGREE\TEACHER I AM GOOD AT MATHEMATICS,STM\AGREE\MATHEMATICS HARDER FOR ME,STM\AGREE\MATH MAKES ME CONFUSED,STM\AGREE\MATHEMATICS WILL HELP ME,STM\AGREE\NEED MATH TO GET INTO <UNI>,STM\AGREE\NEED MAT TO GET THE JOB I WANT,STM\AGREE\MORE JOB OPPORTUNITIES,STM\AGREE\PARENTS THINK MATH IMPORTANT,STS\AGREE\ENJOY LEARNING SCIENCE,STS\AGREE\SCIENCE IS BORING,STS\AGREE\LEARN INTERESTING THINGS,STS\AGREE\SCIENCE TEACHES ME,STS\AGREE\LIKE SCIENCE EXPERIMENTS,STS\AGREE\FAVORITE SUBJECT,STS\AGREE\TEACHER EASY TO UNDERSTAND,STS\AGREE\TEACHER CLEAR ANSWERS,STS\AGREE\TEACHER EXPLAINS GOOD,STS\AGREE\TEACHER DOES A VARIETY,STS\AGREE\USUALLY DO WELL IN SCIENCE,STS\AGREE\HARDER FOR ME THAN FOR OTHERS,STS\AGREE\JUST NOT GOOD AT SCIENCE,STS\AGREE\TEACHER I AM GOOD AT SCIENCE,STS\AGREE\SCIENCE IS HARDER FOR ME,STS\AGREE\SCIENCE MAKES ME CONFUSED,STS\AGREE\SCIENCE WILL HELP ME,STS\AGREE\NEED SCI TO GET INTO <UNI>,STS\AGREE\NEED SCI TO GET THE JOB I WANT,STS\AGREE\MORE JOB OPPORTUNITIES,STS\AGREE\PARENTS THINK SCI IMPORTANT,STM\HOW OFTEN TEACHER GIVE YOU HOMEWORK,STS\HOW OFTEN TEACHER GIVE YOU HOMEWORK,STM\EXTRA LESSONS HOW MANY MONTH,STS\EXTRA LESSONS HOW MANY MONTH,SC\STUDENTS ECONOMIC DISADVA,SC\STUDENTS ECONOMIC AFFLUEN,SC\AREA OF SCH LOCATION,SC\TOTAL COMPUTERS,SC\EXISTING SCIENCE LABORATORY,SC\EXISTING SCHOOL LIBRARY,SC\SHORTAGE\INSTRUCTIONAL MATERIAL,SC\SHORTAGE\SUPPLIES,SC\SHORTAGE\SCHOOL BUILDINGS,SC\SHORTAGE\HEATING SYSTEMS,SC\SHORTAGE\INSTRUCTIONAL SPACE,SC\SHORTAGE\TECHNOLOGICAL STAFF,SC\SHORTAGE\RESOURCES STD WITH DISAB,SC\SHORTAGE\MAT\LIBRARY RESOURCES,SC\SHORTAGE\MAT\CALCULATORS,SC\SHORTAGE\MAT\CONCRETE OBJECTS,SC\SHORTAGE\SCI\LIBRARY RESOURCES,SC\SHORTAGE\SCI\SCIENCE EQUIPMENT,SC\SCH CHARACTER\TCH SUCCESS,SC\SCH CHARACTER\TCH EXPECTATIONS,SC\SCH CHARACTER\TCH ABILITY TO INSPIRE,SC\SCH CHARACTER\PARENTAL INVOLVEMENT,SC\SCH CHARACTER\PARENTAL SUPPORT,SC\SCH CHARACTER\STD DESIRE TO DO WELL,SC\SCH CHARACTER\STD RESPECT,SC\PROBS\ARRIVING LATE,SC\PROBS\ABSENTEEISM,SC\PROBS\CLASSROOM DISTURBANCE,SC\PROBS\CHEATING,SC\PROBS\PROFANITY,SC\PROBS\VANDALISM,SC\PROBS\THEFT,SC\PROBS\INTIMIDATION AMONG STUD,SC\PROBS\PHYSICAL INJURY,SC\PROBS\INTIMIDATION OF TEACHER,SC\PROBS\PHYSICAL INJURY TO TCH,SC\PROBS\TEACHER ARRIVING LATE,SC\PROBS\TEACHER ABSENTEEISM,SC\YEARS PRINCIPAL,SC\PRINCIPAL EDUCATION,SciT\YEARS TEACHING,SciT\GENDER,SciT\AGE,SciT\LEVEL OF EDUCATION,SciT\CHARACTERIZE\TCHS DEGREE OF SUCCESS,SciT\CHARACTERIZE\TCHS EXPECTATIONS,SciT\CHARACTERIZE\TCHS ABILITY TO INSPIRE,SciT\CHARACTERIZE\PARENTAL INVOLVEMENT,SciT\CHARACTERIZE\PARENTAL SUPPORT,SciT\CHARACTERIZE\STUDENTS DESIRE,SciT\CHARACTERIZE\RESPECT FOR CLASSMATES,SciT\CURRENT SCH\SAFE NEIGHBORH,SciT\CURRENT SCH\FEEL SAFE,SciT\CURRENT SCH\STUD BEHAVE,SciT\CURRENT SCH\STUD RESPECT,SciT\CURRENT SCH\RESPECT PROPERTY,SciT\BEING A TEACHER\CONTENT,SciT\BEING A TEACHER\MEANING AND PURPOSE,SciT\BEING A TEACHER\ENTHUSIASTIC,SciT\AGREEMENT\TOO MANY STUDENTS,SciT\AGREEMENT\TOO MUCH MATERIAL,SciT\AGREEMENT\TOO MANY HOURS,SciT\AGREEMENT\NEED MORE TIME TO PREPARE,SciT\AGREEMENT\NEED MORE TIME TO ASSIST,SciT\AGREEMENT\TOO MUCH PRESSURE,SciT\AGREEMENT\TOO MANY ADMINISTRATIVE TASKS,SciT\HOW OFTEN\RELATE TO STUDENTS LIVES,SciT\HOW OFTEN\EXPLAIN ANSWERS,SciT\HOW OFTEN\CHALLENGING EXS,SciT\HOW OFTEN\CLASSROOM DISCUSSIONS,SciT\HOW OFTEN\ENCOURAGE TO EXPRESS IDEAS,SciT\LIMIT TEACHING\LACKING KNOWLEDGE,SciT\LIMIT TEACHING\LACK OF NUTRITION,SciT\LIMIT TEACHING\LACK OF SLEEP,SciT\LIMIT TEACHING\DISRUPTIVE STUDENTS,SciT\LIMIT TEACHING\UNINTERESTED STUDENTS,SciT\LIMIT TEACHING\MENTAL IMPAIRMENT,TS\ASK STUDENTS\EXPLAIN NEW SCIENCE,TS\ASK STUDENTS\OBSERVE PHENOMENA,TS\ASK STUDENTS\CONDUCT EXPERIMENTS,TS\ASK STUDENTS\INTERPRET DATA,TS\ASK STUDENTS\READ TEXTBOOKS,TS\ASK STUDENTS\MEMORIZE FACTS,TS\ASK STUDENTS\DO FIELD WORK,TS\COMPUTER TABLET AVAILABILITY,TS\ACCESS TO COMPUTER\EACH STD HAS A COMPUTER,TS\ACCESS TO COMPUTER\CLASS HAS COMPUTERS,TS\ACCESS TO COMPUTER\SCHOOL HAS COMPUTERS,TS\HOW OFTEN SCIENCE HOMEWORK ASSIGNED,TS\CORRECT HOMEWORK,TS\DISCUSS HOMEWORK,TS\PAST DEVELOPMENT\SCIENCE CONTENT,TS\PAST DEVELOPMENT\SCIENCE PEDAGOGY,TS\PAST DEVELOPMENT\STUDENT NEEDS
"Abu Dhabi, UAE",AAD,14,1,4,5,2,2,2,3,3,3,2,1,1,2,2,2,1,1,1,2,2,2,2,2,3,3,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,4,1,1,1,1,1,2,3,1,1,1,1,1,4,1,1,1,1,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,2,2,2,2,2,3,3,3,2,3,3,98,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,2,11,3,13,1,3,5,2,2,2,3,3,3,2,1,1,2,2,2,1,1,1,2,2,2,2,2,3,3,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,3,1,1,2,1,3,1,1,1,1,1
Australia,AUS,14,1,4,5,2,2,2,3,3,3,2,1,1,2,2,2,2,2,2,2,2,2,2,1,3,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1,2,1,3,2,2,1,1,1,2,3,1,1,1,1,1,4,1,1,1,1,2,2,2,2,3,3,4,2,2,2,2,3,2,2,2,2,2,3,3,3,2,3,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,2,2,2,2,3,3,3,3,2,2,2,164,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,3,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,2,9,3,13,1,4,5,2,2,2,3,3,3,2,1,1,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,3,3,1,1,2,1,2,2,2,1,1,1
Bahrain,BHR,14,1,4,5,2,2,2,3,3,3,2,1,1,2,2,2,1,1,1,2,2,2,2,2,3,3,2,1,2,1,1,2,2,2,2,2,2,1,2,1,3,2,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,4,1,1,1,2,2,2,2,2,3,3,4,2,3,2,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,2,2,2,2,3,3,2,2,2,2,3,61,1,1,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,3,2,2,1,2,2,2,2,1,1,2,1,1,1,1,2,7,3,12,1,3,5,2,2,2,3,3,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,3,3,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,1,1,2,1,1
Chile,CHL,14,1,4,5,2,2,2,3,3,3,2,2,2,2,2,2,1,1,1,2,2,2,2,1,3,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,2,2,2,2,1,1,1,1,1,4,1,2,1,2,2,2,2,2,3,3,4,2,3,2,2,3,2,2,2,2,2,3,2,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,2,2,51,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,10,3,12,1,3,5,2,2,2,3,3,3,2,2,2,2,2,2,1,1,1,2,2,2,1,1,3,2,1,1,2,2,1,2,2,2,2,2,2,1,2,3,2,2,2,3,1,1,1,1,2,1,1,2,2,2
Chinese Taipei,TWN,17,2,4,6,2,2,2,3,3,3,2,1,1,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,1,1,1,1,2,2,3,1,1,1,1,1,5,1,1,1,2,2,2,2,2,4,4,4,2,3,2,3,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2,3,2,2,2,3,3,3,2,2,2,92,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,9,3,16,2,4,6,2,2,2,3,3,3,2,1,1,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,3,2,2,2,1,2,2,2,2,2,2,3,3,2,3,4,1,2,1,1,3,2,1,1,1,2
Cyprus,CYP,12,1,4,6,2,2,2,3,3,3,3,2,1,2,2,2,2,2,2,2,2,2,3,1,3,3,2,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,4,1,1,1,1,2,2,3,1,1,1,1,1,4,2,2,1,2,2,2,2,2,3,4,4,2,3,2,3,3,2,2,2,2,2,3,3,3,2,3,3,2,2,2,2,1,,,,,,,,,,,,,,,,,2,2,2,2,2,1,,3,,2,3,2,51,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,8,3,13,1,4,6,2,2,2,3,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,3,2,1,2,1,2,2,2,2,1,2,3,2,2,3,3,2,2,2,1,3,1,1,1,1,2
"Dubai, UAE",ADU,12,1,3,5,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,3,2,2,2,2,3,3,1,1,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,2,1,4,1,1,1,1,1,1,3,1,1,1,1,1,4,1,1,1,1,2,2,2,2,3,4,4,2,3,2,2,2,2,2,1,2,2,3,3,3,2,3,3,2,2,2,2,1,2,3,2,1,1,2,2,2,2,2,2,3,3,2,3,3,2,2,2,2,1,2,3,3,3,2,3,2,120,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,9,3,11,1,3,6,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,3,2,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,3,1,1,2,1,3,1,1,1,1,1
Egypt,EGY,19,2,4,5,2,2,2,3,3,3,2,1,1,2,2,2,1,1,1,2,2,2,3,2,3,3,2,1,2,1,1,2,2,2,2,2,2,1,2,1,1,2,2,2,1,3,1,1,1,1,1,1,2,1,1,1,1,1,3,1,2,1,1,1,2,1,2,3,3,4,2,3,2,2,2,2,1,1,1,1,3,2,3,2,3,3,1,1,1,2,1,1,3,1,1,1,2,2,1,1,1,1,3,3,2,3,3,1,1,1,1,1,2,2,3,3,3,2,3,44,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,6,2,18,1,4,5,2,2,2,3,3,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,3,3,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,3,1,2,2,1,3,1,1,1,1,2
England,ENG,13,1,3,5,2,2,2,3,3,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,1,2,1,1,2,1,3,1,1,1,1,1,4,1,1,1,2,2,2,2,2,3,4,4,2,2,2,3,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,1,2,3,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,3,3,3,3,2,2,3,328,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,9,3,12,2,3,5,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,3,2,3,2,2,2,1,3,2,2,1,1,2
Finland,FIN,14,1,4,6,2,2,2,3,3,3,2,2,1,2,2,2,2,2,2,2,2,3,3,2,3,3,2,1,2,2,2,2,1,2,2,2,2,1,3,2,2,1,2,2,1,4,2,1,2,2,2,2,3,1,1,1,1,1,4,2,1,1,1,2,1,2,2,4,4,4,2,2,2,3,3,2,2,2,2,2,3,2,3,3,3,3,2,2,2,2,2,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,2,,2,2,3,98,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,3,2,2,2,1,2,2,1,2,1,1,1,1,1,12,3,15,1,4,6,2,2,2,3,3,3,3,2,1,2,2,2,2,2,2,2,2,3,3,2,3,3,2,2,3,2,2,2,1,2,2,2,2,1,2,2,2,2,3,3,1,2,2,1,3,2,1,2,2,2
France,FRA,15,1,4,6,2,2,2,3,3,3,3,2,1,2,2,2,2,2,2,2,2,3,2,1,3,2,2,1,3,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,4,1,1,2,2,2,2,3,1,1,1,1,1,4,1,1,1,2,2,2,2,2,3,4,4,2,3,2,3,3,2,2,2,2,2,3,2,3,3,3,3,2,2,2,2,2,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,3,,2,3,3,99,1,1,1,1,2,1,2,2,2,1,1,2,1,2,2,2,2,3,3,2,2,2,2,2,1,2,1,1,2,1,1,1,1,2,8,3,14,1,4,6,2,2,2,3,3,3,3,2,1,2,2,2,2,2,2,2,2,3,2,1,3,2,2,1,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,2,1,1,2,1,1,2,1,2
"Gauteng, RSA",ZGT,14,2,4,5,2,2,2,3,4,3,3,2,2,3,3,3,1,1,1,2,2,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,1,1,2,1,1,1,2,1,4,1,2,1,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,1,1,1,2,3,1,1,2,2,2,2,2,2,2,3,3,2,3,3,1,2,2,2,2,1,2,4,3,3,2,2,20,1,1,3,2,3,2,3,3,2,2,3,2,2,3,2,2,2,4,3,3,3,3,3,3,2,2,3,3,3,2,2,1,2,2,8,2,14,1,3,5,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,1,2,2,4,1,1,1,1,2
Georgia,GEO,25,1,5,6,2,2,2,3,3,3,2,1,1,2,2,2,1,1,1,2,2,3,2,2,3,3,2,1,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,5,2,1,1,1,1,2,3,1,1,1,1,1,3,1,1,1,2,2,2,2,2,4,4,4,2,3,2,2,3,2,1,1,2,2,3,2,3,2,3,3,2,2,2,2,1,,,,,,,,,,,,,,,,,1,2,2,2,2,1,,3,,2,2,2,24,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,11,3,26,1,5,6,2,2,2,3,3,3,2,1,1,2,2,2,2,1,1,2,2,3,3,2,3,3,2,1,3,2,1,2,2,2,2,2,2,1,2,3,3,2,2,3,2,2,2,1,3,1,1,1,1,1
Hong Kong SAR,HKG,15,2,3,5,2,2,2,3,3,3,2,1,1,2,2,2,2,2,2,2,2,3,2,1,3,2,3,2,3,2,2,2,1,2,2,2,2,2,3,2,1,2,1,2,1,4,1,2,1,1,2,2,3,1,1,1,1,1,5,1,1,1,2,2,2,2,2,3,4,4,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,2,2,140,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,8,3,16,2,4,5,2,2,2,3,3,3,2,1,1,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,3,3,2,2,1,2,2,2,1,2,2,2,2,3,2,3,1,2,2,1,3,1,2,1,1,2
Hungary,HUN,26,1,5,5,2,2,3,3,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,4,2,1,2,2,2,2,3,1,1,1,1,1,4,2,1,1,2,2,2,2,2,3,4,4,2,2,2,3,3,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2,2,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,3,,2,3,3,37,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,2,2,2,1,2,2,1,2,2,1,1,1,2,10,3,24,1,5,5,2,2,3,3,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,3,2,2,2,1,2,2,2,2,2,2,3,3,2,2,3,2,2,2,1,3,2,1,2,2,2
